method,algorithm,seed,scenario,safety_mode,episodes,raw_mean_episode_hard_safety_cost,mean_episode_cost_eur,cvar90_episode_cost_eur,mean_episode_safety_cost,mean_episode_hard_safety_cost,unsafe_episode_rate,mean_projection_distance_l2,mean_weighted_projection_distance,mean_decision_time_ms,intervention_rate,pass_through_rate,partial_projection_rate,full_projection_rate
cql_ood_warning,cql,1,cold_wave_extreme,ood_warning,1,48.41588576157273,402311.7191166486,402311.7191166486,58.46449783544258,48.41588576157273,1.0,0.0,0.0,0.2668958333339096,0.0,1.0,0.0,0.0
cql_fixed_safety,cql,1,cold_wave_extreme,fixed,1,51.924029264307926,16647.88085645645,16647.88085645645,20.185208323182202,1.5878409165281937e-07,0.0,0.540148007373015,0.5246483159619991,175.17407083333342,0.7083333333333334,0.2916666666666667,0.0,0.7083333333333334
cql_adaptive_safety,cql,1,cold_wave_extreme,adaptive,1,51.664678876385445,16332.77581717203,16332.77581717203,11.946445786452589,6.365827918131117e-07,0.0,0.4797008049984773,0.46676879652310865,180.01785833333156,0.7083333333333334,0.2916666666666667,0.7083333333333334,0.0
cql,cql,1,compound_extreme,none,1,62.05141486132411,518687.42765807966,518687.42765807966,69.35804361824223,62.05141486132411,1.0,0.0,0.0,0.24257916666610888,0.0,1.0,0.0,0.0
cql_ood_warning,cql,1,compound_extreme,ood_warning,1,62.05141486132411,518687.42765807966,518687.42765807966,69.35804361824223,62.05141486132411,1.0,0.0,0.0,0.2663791666671263,0.0,1.0,0.0,0.0
cql_fixed_safety,cql,1,compound_extreme,fixed,1,65.56992241482028,25424.63722683202,25424.63722683202,28.00586963501806,7.825312664522244e-08,0.0,0.644332569402953,0.609318806395298,124.18034583333082,0.7916666666666666,0.20833333333333334,0.0,0.7916666666666666
cql_adaptive_safety,cql,1,compound_extreme,adaptive,1,65.28931637194111,25017.007484879105,25017.007484879105,17.454221252187157,0.0,0.0,0.564369301777333,0.5340073696163851,139.1606999999997,0.7916666666666666,0.20833333333333334,0.7916666666666666,0.0
cql,cql,2,in_distribution,none,1,2.3732133380173517,32887.371231047524,32887.371231047524,40.46357657549403,2.3732133380173517,1.0,0.0,0.0,0.275154166666051,0.0,1.0,0.0,0.0
cql_ood_warning,cql,2,in_distribution,ood_warning,1,2.3732133380173517,32887.371231047524,32887.371231047524,40.46357657549403,2.3732133380173517,1.0,0.0,0.0,0.26019166666616894,0.0,1.0,0.0,0.0
cql_fixed_safety,cql,2,in_distribution,fixed,1,2.384079951912984,14233.469768053255,14233.469768053255,50.826144336084255,0.0,0.0,0.08454770563791196,0.07848077656519344,493.8867749999993,0.125,0.875,0.0,0.125
cql_adaptive_safety,cql,2,in_distribution,adaptive,1,2.3756613067620256,13999.665173623269,13999.665173623269,39.994212847146564,0.0,0.0,0.024925387154022854,0.02342951262342134,450.8755666666673,0.125,0.875,0.125,0.0
cql,cql,2,load_up_20,none,1,16.515938769635756,149122.60200626947,149122.60200626947,35.66897533352422,16.515938769635756,1.0,0.0,0.0,0.26752500000408,0.0,1.0,0.0,0.0
cql_ood_warning,cql,2,load_up_20,ood_warning,1,16.515938769635756,149122.60200626947,149122.60200626947,35.66897533352422,16.515938769635756,1.0,0.0,0.0,0.28965833333434904,0.0,1.0,0.0,0.0
cql_fixed_safety,cql,2,load_up_20,fixed,1,17.64047360995879,18361.25332889378,18361.25332889378,59.401965862243586,1.6556081305907355e-07,0.0,0.42834769158313674,0.3960251524229877,181.28288333333603,0.6666666666666666,0.3333333333333333,0.0,0.6666666666666666
cql_adaptive_safety,cql,2,load_up_20,adaptive,1,17.381309192842817,17546.930255949417,17546.930255949417,29.681872450948934,0.0,0.0,0.14913719597583017,0.1374150713884097,196.45099999999852,0.6666666666666666,0.3333333333333333,0.6666666666666666,0.0
cql,cql,2,cold_wave_extreme,none,1,54.38475463232764,450227.9644122296,450227.9644122296,63.94713149343146,54.38475463232764,1.0,0.0,0.0,0.2791124999982723,0.0,1.0,0.0,0.0
