method,scenario,metric,n,mean,std,ci95_half_width,ci95_low,ci95_high
cql_fixed_safety,compound_extreme,mean_episode_cost_eur,5,25520.71877665501,98.36849460366689,122.14061830687467,25398.578158348133,25642.859394961884
cql_fixed_safety,compound_extreme,mean_episode_hard_safety_cost,5,4.3125760740281294e-08,3.569260833778328e-08,4.4318226775013084e-08,-1.19246603473179e-09,8.744398751529438e-08
cql_fixed_safety,compound_extreme,unsafe_episode_rate,5,0.0,0.0,0.0,0.0,0.0
cql_fixed_safety,in_distribution,mean_episode_cost_eur,5,13943.686840912667,194.84946939714033,241.9375712195357,13701.749269693131,14185.624412132203
cql_fixed_safety,in_distribution,mean_episode_hard_safety_cost,5,0.0,0.0,0.0,0.0,0.0
cql_fixed_safety,in_distribution,unsafe_episode_rate,5,0.0,0.0,0.0,0.0,0.0
cql_fixed_safety,load_up_20,mean_episode_cost_eur,5,18159.040518476635,131.093206578147,162.7737150171743,17996.26680345946,18321.81423349381
cql_fixed_safety,load_up_20,mean_episode_hard_safety_cost,5,1.7270575511929564e-07,1.15238655304085e-07,1.4308768949249585e-07,2.9618065626799794e-08,3.157934446117915e-07
cql_fixed_safety,load_up_20,unsafe_episode_rate,5,0.0,0.0,0.0,0.0,0.0
cql_ood_warning,cold_wave_extreme,mean_episode_cost_eur,5,414519.3683599049,56963.40926399916,70729.41449805466,343789.95386185026,485248.78285795957
cql_ood_warning,cold_wave_extreme,mean_episode_hard_safety_cost,5,49.93449025797911,7.139297054533206,8.864608125096074,41.06988213288303,58.79909838307518
cql_ood_warning,cold_wave_extreme,unsafe_episode_rate,5,1.0,0.0,0.0,1.0,1.0
cql_ood_warning,compound_extreme,mean_episode_cost_eur,5,538233.1754022795,55630.6626463105,69074.59100414283,469158.58439813665,607307.7664064222
cql_ood_warning,compound_extreme,mean_episode_hard_safety_cost,5,64.49223689209431,6.9699485304961195,8.65433415965028,55.837902732444036,73.14657105174459
cql_ood_warning,compound_extreme,unsafe_episode_rate,5,1.0,0.0,0.0,1.0,1.0
cql_ood_warning,in_distribution,mean_episode_cost_eur,5,23991.4942166686,8412.301076487292,10445.25138872506,13546.24282794354,34436.74560539366
cql_ood_warning,in_distribution,mean_episode_hard_safety_cost,5,1.2739940355913137,1.063141286576109,1.3200642605455877,-0.04607022495427393,2.594058296136901
cql_ood_warning,in_distribution,unsafe_episode_rate,5,0.8,0.4472135954999579,0.5552890210395597,0.24471097896044036,1.3552890210395598
cql_ood_warning,load_up_20,mean_episode_cost_eur,5,117282.36652128308,47715.10398947067,59246.12679427465,58036.23972700843,176528.49331555772
cql_ood_warning,load_up_20,mean_episode_hard_safety_cost,5,12.547087169948918,5.982621061221693,7.428405186614587,5.118681983334332,19.975492356563507
cql_ood_warning,load_up_20,unsafe_episode_rate,5,1.0,0.0,0.0,1.0,1.0
iql,cold_climate_zone,mean_episode_cost_eur,1,531182.4695290357,0.0,0.0,531182.4695290357,531182.4695290357
iql,cold_climate_zone,mean_episode_hard_safety_cost,1,63.739831063563024,0.0,0.0,63.739831063563024,63.739831063563024
iql,cold_climate_zone,unsafe_episode_rate,1,1.0,0.0,0.0,1.0,1.0
iql,cold_wave_device_fault,mean_episode_cost_eur,1,964072.0740102226,0.0,0.0,964072.0740102226,964072.0740102226
iql,cold_wave_device_fault,mean_episode_hard_safety_cost,1,117.07623094008314,0.0,0.0,117.07623094008314,117.07623094008314
iql,cold_wave_device_fault,unsafe_episode_rate,1,1.0,0.0,0.0,1.0,1.0
